State,Airport,OPID,A_Type,Type_ENG,Species,Damage,AC_Mass,Num_ENGS,Month,Year,Time,Height,Speed,Phase,Sky,Precip,Birds_Seen,Birds_Struck,Size
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,9,2001,,4000,,Climb,,,,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,9,2001,Night,5,130,Approach,Some Cloud,None,1,1,Small
MD,KBWI,FDX,B-727-200,D,Canada goose,0,4,3,8,2001,Night,50,130,Approach,Some Cloud,None,11 to 100,1,Large
MD,KBWI,TRZ,B-727-200,D,Canada goose,0,4,3,8,2001,Day,0,,Landing Roll,Some Cloud,None,11 to 100,2 to 10,Large
MD,KBWI,PDT,DHC8 DASH 8,C,American kestrel,0,3,2,8,2001,Day,0,70,Landing Roll,No Cloud,None,2 to 10,1,Small
MD,KBWI,EJA,BA-125-800,D,Unknown bird,0,3,2,8,2001,,0,,Landing Roll,,,,1,Medium
MD,KBWI,ASH,CRJ100/200,D,Unknown bird,0,3,2,8,2001,Day,50,138,Approach,Overcast,None,11 to 100,2 to 10,Small
MD,KMTN,MIL,A-10A,D,Unknown bird,0,3,2,8,2001,Day,,,Take-off run,,None,,1,Medium
MD,KBWI,SNK,B-737-700,D,Unknown bird,0,4,2,8,2001,Day,0,130,Take-off run,No Cloud,None,1,1,Medium
MD,KBWI,1AWE,A-320,D,Unknown bird,0,4,2,8,2001,Dawn,1100,220,Climb,Some Cloud,None,2 to 10,1,Small
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,8,2001,,16000,,Climb,,,,1,Medium
MD,KBWI,USA,B-737-200,D,Unknown bird,0,4,2,7,2001,Day,0,135,Take-off run,Some Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,7,2001,Day,0,150,Take-off run,Some Cloud,None,1,1,Small
MD,KBWI,SWA,B-737-700,D,Sparrows,0,4,2,6,2001,Day,10,136,Approach,Overcast,,2 to 10,1,Small
MD,KBWI,UAL,B-757-200,D,Unknown bird,0,4,2,5,2001,,,,Approach,,,1,1,Medium
MD,KBWI,USA,B-737,D,Blackbirds,0,4,2,5,2001,Day,5,135,Approach,Overcast,Fog,,1,Small
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,5,2001,Day,1000,135,Approach,Some Cloud,None,2 to 10,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,5,2001,Night,4000,220,Approach,Some Cloud,None,,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,5,2001,Night,2000,170,Approach,No Cloud,None,,1,Small
MD,KBWI,BUS,DHC8 DASH 8,C,Swallows,0,3,2,5,2001,Dusk,50,100,Approach,No Cloud,None,,1,Small
MD,KBWI,USA,B-737-200,D,Unknown bird,0,4,2,4,2001,Day,,,Approach,Some Cloud,None,2 to 10,2 to 10,Small
MD,KBWI,BLR,BA-31 JETSTR,C,Unknown bird,1,2,2,4,2001,,,,Descent,,,,1,Medium
MD,KBWI,1AWE,A-320,D,Unknown bird,0,4,2,4,2001,Night,,,Approach,No Cloud,None,,1,Small
MD,KBWI,UAL,A-320,D,Unknown bird,0,4,2,4,2001,,,,Approach,,,1,1,Small
MD,KMTN,PVT,BE-36,A,Gulls,0,1,1,4,2001,Day,0,,Take-off run,Overcast,None,2 to 10,2 to 10,Medium
MD,KMTN,BUS,IAI ASTRA JT,D,Gulls,0,2,2,4,2001,Day,0,100,Take-off run,Overcast,None,2 to 10,1,Medium
MD,KBWI,SWA,B-737-300,D,Unknown bird,0,4,2,4,2001,Night,4500,250,Descent,No Cloud,None,,1,Medium
MD,KBWI,SWA,B-737-700,D,Unknown bird,0,4,2,4,2001,Night,2800,230,Approach,Some Cloud,None,1,1,Large
MD,KMTN,MIL,A-10A,D,Unknown bird,0,3,2,3,2001,Day,0,150,Landing Roll,Some Cloud,None,1,1,Medium
